CHUVA,SOL
23.0,73,0
23.2,82,0
24.1,63,1
32.1,72,0
33.7,51,0
26.0,93,0
25.8,79,0
31.1,65,0
33.9,73,0
34.7,70,1
34.5,77,1
34.5,67,0
31.4,80,0
19.8,84,0
24.4,76,0
28.5,81,0
31.6,50,0
26.2,84,0
26.1,84,0
25.7,71,0
24.8,76,0
24.7,73,0
26.8,68,0
31.6,52,0
26.2,83,1
29.4,54,0
26.6,82,1
26.2,69,0
25.2,79,0
26.4,79,0
24.4,87,0
